Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2050 [YR2050]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,East Asia & Pacific,EAS,26.1962539178093,22.2630418233549,13.3759404565449,13.3431346084015,13.7534420504955,13.857602677083,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,South Asia,SAS,60.0047009605968,52.9094458016564,40.4365187049686,40.1709262501923,38.9975422348051,38.2753846475636,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Middle East & North Africa,MEA,2.85928799448971,2.17438826218704,1.64491410073442,1.68240446870633,1.60152503581821,1.55785661387381,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Sub-Saharan Africa,SSF,71.1346365600736,72.8685440486386,70.3113512222089,70.0409138871891,70.2864318966796,70.1273749790267,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Latin America & Caribbean,LCN,32.4391616312952,28.2936665856553,27.3828557592714,27.2962218413879,27.0829929900215,27.602499585898,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Europe & Central Asia,ECS,5.70692006473993,7.63581633565879,11.5502735830782,12.3182961246756,12.6175816033302,13.0730847351684,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,North America,NAC,6.15715585373201,7.1920190503338,10.0698223301315,10.2455006727036,10.220528725581,10.1761857899231,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Afghanistan,AFG,15.9245316828932,54.2431983947754,14.404899597168,17.1049995422363,20.770299911499,20.2737998962402,24.7402992248535,25.082799911499,21.422700881958,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Albania,ALB,25.5180876255371,41.4449996948242,40.0466995239258,41.2869987487793,38.6973991394043,38.6255989074707,39.5872993469238,37.219799041748,38.2663993835449,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Algeria,DZA,0.177228302572834,0.42739999294281,0.180399999022484,0.134100005030632,0.0687000006437302,0.0590000003576279,0.0802000015974045,0.14360000193119,0.193299993872643,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Andorra,AND,14.2735502072872,14.5081996917725,18.7628993988037,19.141300201416,19.4200992584229,19.2777004241943,19.2558002471924,19.0631999969482,18.5060005187988,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Angola,AGO,72.2552519216681,73.4411010742188,49.4432983398438,47.9384994506836,48.2112998962402,47.815601348877,49.0080986022949,56.1805000305176,56.7854995727539,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Antigua and Barbuda,ATG,0,0,0.152099996805191,0.146599993109703,0.144400000572205,0.482199996709824,0.598399996757507,0.602199971675873,0.904900014400482,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Arab World,ARB,7.34435776652672,6.60961837893085,4.16704503078223,4.22617691236642,4.17001746695178,4.09403656576612,..,..,..,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Argentina,ARG,8.92290746696394,9.84799957275391,8.61180019378662,8.9133996963501,9.78139972686768,9.3931999206543,9.37689971923828,10.3684997558594,10.5207996368408,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Armenia,ARM,2.11894434058036,7.1628999710083,6.56379985809326,6.76999998092651,7.08090019226074,10.7468996047974,13.15149974823,12.5626001358032,11.1330003738403,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Australia,AUS,8.0095771593438,8.42399978637695,8.29450035095215,9.21520042419434,9.3169002532959,9.31550025939941,9.4197998046875,9.68610000610352,9.64500045776367,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Austria,AUT,25.135754145631,26.4358005523682,34.2843017578125,34.7025985717773,35.790901184082,34.8772010803223,34.6142997741699,33.959098815918,33.8456001281738,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Azerbaijan,AZE,0.722062718119182,2.0650999546051,2.84529995918274,2.52589988708496,2.11660003662109,2.31220006942749,1.9268000125885,1.90880000591278,1.97130000591278,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,"Bahamas, The",BHS,0,0,1.18210005760193,0.955399990081787,1.1414999961853,1.54059994220734,1.53460001945496,1.44379997253418,1.01929998397827,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Bahrain,BHR,0,0,0,0,0,0,0,0,0,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Bangladesh,BGD,71.6649713034591,59.021800994873,38.6360015869141,38.6996002197266,37.2864990234375,34.2163009643555,33.5362014770508,31.6032009124756,30.7061996459961,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Barbados,BRB,18.9421765236556,14.3187999725342,4.20949983596802,3.50869989395142,3.43359994888306,3.17829990386963,3.50169992446899,5.16109991073608,5.83559989929199,..,..,..
