Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2050 [YR2050]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,East Asia & Pacific,EAS,2.49446718050827,3.16843592989046,6.15012838697755,6.29887051903295,6.24267957785307,6.19247158019,6.16507541510155,6.23725325340775,6.36117965117565,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,South Asia,SAS,0.567342502556742,0.773531071458188,1.27424033641974,1.29182769212915,1.38292180833402,1.38481557411261,1.39975587202481,1.46285048165024,1.52665123826178,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Middle East & North Africa,MEA,3.3341428050725,4.07884205379951,5.74152870772102,5.73594382705647,5.84766595535811,5.81840465144704,5.75421799892749,5.73090672707515,5.63865714120856,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Sub-Saharan Africa,SSF,0.78366421124309,0.717068799182923,0.805956711837532,0.817618181067341,0.824377307149742,0.78151815422518,0.76861242669,0.763443279504828,0.763618494024364,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Latin America & Caribbean,LCN,2.03578082740438,2.44607972360996,2.87578721485356,2.91772236287914,2.90637028056692,2.86493157609527,2.7809517187686,2.70001842431839,2.63736256899646,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Europe & Central Asia,ECS,9.47659053574727,7.48216015938433,7.29048889234514,7.10863643343444,6.76855016183679,6.69411120207959,6.68515472319884,6.721799839876,6.69010595705676,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,North America,NAC,18.9866157373537,20.1148175290478,15.7740390145107,16.0824634186624,16.0130939953744,15.550833640324,15.1469245227553,14.8682233158805,15.2708756112257,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.238472916123355,0.0370549371204185,0.335351023308404,0.263715760645502,0.234036914423758,0.232175631246749,0.208857195602366,0.20332756862023,0.200151071015376,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.84084061606394,1.026213108529,1.57909199452076,1.65452427763954,1.80678854066866,1.75998705871449,1.71412617289866,1.94887203810602,1.93973156347946,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,2.63559677613212,2.53171179217169,3.38755462612394,3.40612323474996,3.56620883406526,3.6742329469226,3.53501992705652,3.50574766242013,3.59165741835207,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,AND,7.52183165773831,7.95228628230616,5.94465405752969,5.94280054475672,5.8071276179415,6.02618183683151,6.08060029756129,6.10413392729587,5.97340536048203,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.534250026480402,0.754476371745695,1.20479888322113,1.26154174238672,1.28536455265954,1.26092098873993,1.2277029417926,1.03431729977182,0.88738036390839,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,3.35822685621992,4.34170536924231,7.96398508965014,5.136050704841,5.18571335969404,5.23666520610018,5.28988573846805,5.23971705527901,5.50466338464095,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Arab World,ARB,2.87077885764533,3.16330493711316,4.51218940948461,4.49519443939826,4.60019065903552,4.61796354463472,4.57030837009204,4.52835061157416,4.43871596541357,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,3.06082581963544,3.57762821285442,4.277881788849,4.35988634439761,4.21636063230176,4.31443352245988,4.22753944174089,4.0894715157252,3.9872341980589,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,5.61025435790992,1.15976136281082,1.98319210023857,1.89812716968877,1.88160773079824,1.82529219202211,1.72675278179192,1.80658104876105,1.88024626821933,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Australia,AUS,15.4467304615853,17.689656972798,16.9692565563587,16.3986459950997,15.7558761009156,15.7864494009173,15.8720795379851,15.7386474030825,15.475516485656,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Austria,AUT,7.58936421003276,7.92978551259517,7.72361441429771,7.75369957604068,7.25338378134494,7.3067452655704,7.25562651573804,7.48275147921596,7.14663762463773,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Azerbaijan,AZE,8.034641709736,4.97105086598912,3.30902697394862,3.33340377480633,3.42210064541678,3.33390642946498,3.34706182082623,3.24435690442685,3.22140218320925,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Bahamas, The",BHS,6.94696499588256,7.1801238068077,10.0115242545678,8.47037547458615,7.06913996627319,6.33351149118119,5.7948312222331,5.6319728407933,5.86046391017413,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bahrain,BHR,21.6564131414503,23.8937121018342,20.4393734489693,21.8702401239821,22.6185245866057,22.3055968824648,21.1811953067521,20.3336240367799,19.5929758385156,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bangladesh,BGD,0.111658248374604,0.169593941656331,0.384025154859518,0.39656611450694,0.412898522713156,0.458797539455164,0.466776363121019,0.492906612933688,0.512837313770296,..,..,..
